LineRef;Station;Direction;Route;StopSeq
21001;de:08212:13;R;Neureut-Heide - Durlach;1
21001;de:08212:7009;R;Neureut-Heide - Durlach;2
21001;de:08212:12;R;Neureut-Heide - Durlach;3
21001;de:08212:8;R;Neureut-Heide - Durlach;4
21001;de:08212:5;R;Neureut-Heide - Durlach;5
21001;de:08212:7003;R;Neureut-Heide - Durlach;6
21001;de:08212:39;R;Neureut-Heide - Durlach;7
21001;de:08212:1004;R;Neureut-Heide - Durlach;8
21001;de:08212:1003;R;Neureut-Heide - Durlach;9
21001;de:08212:1002;R;Neureut-Heide - Durlach;10
21001;de:08212:1001;R;Neureut-Heide - Durlach;11
21001;de:08212:6;R;Neureut-Heide - Durlach;12
21001;de:08212:7;R;Neureut-Heide - Durlach;13
21001;de:08212:9;R;Neureut-Heide - Durlach;14
21001;de:08212:10;R;Neureut-Heide - Durlach;15
21001;de:08212:11;R;Neureut-Heide - Durlach;16
21001;de:08212:16;R;Neureut-Heide - Durlach;17
21001;de:08212:17;R;Neureut-Heide - Durlach;18
21001;de:08212:18;R;Neureut-Heide - Durlach;19
